Informazioni cronologiche,Age,Biological sex,University of affiliation,Do you think this image was generated by AI or is it real?,Did you have doubts about the veracity of the image?,"An algorithm suggests to you that, at 86%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.1,Did you have doubts about the veracity of the image?.1,"An algorithm suggests to you that, at 88%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.2,Did you have doubts about the veracity of the image?.2,"An algorithm suggests to you that, at 78%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.3,Did you have doubts about the veracity of the image?.3,"An algorithm suggests to you that, at 74%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.4,Did you have doubts about the veracity of the image?.4,"An algorithm suggests to you that, at 67%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.5,Did you have doubts about the veracity of the image?.5,"An algorithm suggests to you that, at 38%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.6,Did you have doubts about the veracity of the image?.6,"An algorithm suggests to you that, at 82%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.7,Did you have doubts about the veracity of the image?.7,"An algorithm suggests to you that, at 78%, the previous image was generated by AI. Do you confirm your choice?.1",Do you think this image was generated by AI or is it real?.8,Did you have doubts about the veracity of the image?.8,"An algorithm suggests to you that, at 55%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.9,Did you have doubts about the veracity of the image?.9,"An algorithm suggests to you that, at 52%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.10,Did you have doubts about the veracity of the image?.10,"An algorithm suggests to you that, at 91%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.11,Did you have doubts about the veracity of the image?.11,"An algorithm suggests to you that, at 62%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.12,Did you have doubts about the veracity of the image?.12,"An algorithm suggests to you that, at 85%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.13,Did you have doubts about the veracity of the image?.13,"An algorithm suggests to you that, at 66%, the previous image was generated by AI. Do you confirm your choice?",Do you think this image was generated by AI or is it real?.14,Did you have doubts about the veracity of the image?.14,"An algorithm suggests to you that, at 78%, the previous image was generated by AI. Do you confirm your choice?.2"
2024/05/23 1:03:22 PM EEST,23 o più,Male,Poznań University of Technology ,Real,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm"
2024/05/23 1:03:36 PM EEST,23 o più,Male,Poznań University of Technology ,AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm"
2024/05/23 1:05:57 PM EEST,23 o più,Male,Poznan University of Technology,Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm"
2024/05/23 1:06:38 PM EEST,23 o più,Male,Poznan University of Technology,AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm"
2024/05/23 1:07:12 PM EEST,23 o più,Male,PUT,Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm"
2024/05/23 1:08:53 PM EEST,23 o più,Male,Poznan University of Technology (PUT),Real,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm"
2024/05/23 1:18:05 PM EEST,23 o più,Male,Poznań University of Technology ,Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm"
2024/10/03 4:22:12 PM EEST,23 o più,Male,Università degli studi di Catania ,AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"No, I change my choice",AI generated,Yes,"Yes, I confirm"
2024/10/03 4:27:12 PM EEST,23 o più,Female,Data Science University of Catania,Real,Yes,"No, I change my choice",Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,Yes,"No, I change my choice",Real,Yes,"Yes, I confirm",Real,No,"No, I change my choice",AI generated,No,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"No, I change my choice",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm"
2024/10/03 4:30:44 PM EEST,22,Male,Università degli studi di Catania ,Real,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"No, I change my choice",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm"
2024/10/03 4:31:10 PM EEST,22,Male,Università degli Studi di Catania,Real,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm"
2024/10/03 4:31:15 PM EEST,22,Male,University of Catania,Real,No,"Yes, I confirm",Real,Yes,"No, I change my choice",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"No, I change my choice",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm"
2024/10/03 4:33:47 PM EEST,23 o più,Male,University of Catania,Real,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,No,"Yes, I confirm",Real,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"No, I change my choice",Real,Yes,"Yes, I confirm",Real,Yes,"No, I change my choice",AI generated,No,"Yes, I confirm",AI generated,Yes,"Yes, I confirm"
2024/10/03 4:35:03 PM EEST,22,Male,University of Catania,Real,No,"Yes, I confirm",Real,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",AI generated,No,"Yes, I confirm",AI generated,Yes,"No, I change my choice",Real,No,"Yes, I confirm",Real,No,"No, I change my choice",Real,Yes,"Yes, I confirm",AI generated,Yes,"No, I change my choice",AI generated,Yes,"Yes, I confirm",AI generated,Yes,"Yes, I confirm",Real,Yes,"No, I change my choice",AI generated,Yes,"Yes, I confirm",Real,Yes,"No, I change my choice"
